"Age","Count"
5,7948
6,17386
7,24062
8,31985
9,38789
10,43796
11,45926
12,50764
13,61756
14,68695
15,73566
16,85185
17,94694
18,105855
19,116693
20,115836
21,113048
22,121413
23,146004
24,178244
25,223388
26,268242
27,303463
28,332405
29,358338
30,399799
31,448080
32,493400
33,539952
34,592723
35,642004
36,688517
37,688630
38,675130
39,738943
40,713042
41,714132
42,685008
43,624388
44,638290
45,606170
46,572006
47,510595
48,476127
49,444711
50,429795
51,402717
52,391699
53,371259
54,370094
55,364410
56,344214
57,328215
58,297813
59,287041
60,269352
61,258099
62,249615
63,239368
64,227640
65,216082
66,201137
67,192637
68,171354
69,155446
70,150795
71,133462
72,123531
73,109467
74,101529
75,83011
76,76471
77,64118
78,59260
79,52048
80,46544
81,46814
82,35746
83,32275
84,28467
85,28128
86,26041
87,21981
88,23205
89,22347
90,18515
91,14951
92,13725
93,11896
94,10515
95,8121
96,6066
97,5085
98,4361
99,3571
100,2718
101,1683
102,1327
103,707
104,735
105,338
106,226
107,102
108,76
109,78
110,61
111,39
112,47
113,21
114,74
115,22
116,11
117,13
118,14
119,13
120,13
121,8
122,13
123,10
124,15
125,6
126,6
127,5
128,3
129,6
130,3
132,1
133,3
134,5
135,3
146,1
NA,613855
